,fit_time,score_time,test_accuracy,test_f1_micro,test_roc_auc_ovo,IC number
0,0.3299698829650879,0.029378175735473633,0.30666666666666664,0.30666666666666664,0.5818689562513025,200
1,0.3572511672973633,0.0404505729675293,0.30666666666666664,0.30666666666666664,0.5978630329813232,200
2,0.4624621868133545,0.04205775260925293,0.36,0.36,0.5877614531503877,200
3,0.43265771865844727,0.045487165451049805,0.28,0.28,0.5371221150026271,200
4,0.4127330780029297,0.03270316123962402,0.29333333333333333,0.29333333333333333,0.5600791281286527,200
5,0.4242088794708252,0.03463864326477051,0.34,0.34,0.5489346781085195,200
6,0.37830519676208496,0.03340268135070801,0.2866666666666667,0.2866666666666667,0.5371421385823946,200
7,0.32917237281799316,0.02915334701538086,0.32,0.32,0.5479570637119114,200
8,0.3273007869720459,0.028628826141357422,0.30666666666666664,0.30666666666666664,0.5633460489388092,200
9,0.32083702087402344,0.02901172637939453,0.30666666666666664,0.30666666666666664,0.5916741871016783,200
0,0.3247091770172119,0.028655052185058594,0.3333333333333333,0.3333333333333333,0.5967492582422956,30
1,0.33548808097839355,0.03012681007385254,0.30666666666666664,0.30666666666666664,0.591610153801327,30
2,0.32871103286743164,0.02955174446105957,0.30666666666666664,0.30666666666666664,0.5671914615071761,30
3,0.32886815071105957,0.029118776321411133,0.3333333333333333,0.3333333333333333,0.5540119834590899,30
4,0.3286893367767334,0.029372215270996094,0.36,0.36,0.5715703022405502,30
5,0.32236337661743164,0.02932596206665039,0.32,0.32,0.5720589197417826,30
6,0.33232831954956055,0.027930259704589844,0.2866666666666667,0.2866666666666667,0.5366246449713921,30
7,0.325115442276001,0.029189348220825195,0.2733333333333333,0.2733333333333333,0.5376218192438151,30
8,0.3287224769592285,0.028804779052734375,0.28,0.28,0.5311772195569081,30
9,0.3271186351776123,0.029034137725830078,0.3,0.3,0.5389085134022246,30
0,0.3255345821380615,0.028614521026611328,0.31333333333333335,0.31333333333333335,0.5677979019672513,50
1,0.40198540687561035,0.04542040824890137,0.34,0.34,0.6068781122966195,50
2,0.3485121726989746,0.02806830406188965,0.3333333333333333,0.3333333333333333,0.5922083319000666,50
3,0.311734676361084,0.027057409286499023,0.32666666666666666,0.32666666666666666,0.5614976406742896,50
4,0.3217201232910156,0.02867889404296875,0.36,0.36,0.6110083655565425,50
5,0.3288388252258301,0.029303312301635742,0.3,0.3,0.5581059835009076,50
6,0.3293282985687256,0.029438018798828125,0.34,0.34,0.5387461748639408,50
7,0.33003687858581543,0.028885602951049805,0.34,0.34,0.5619586045579906,50
8,0.31270503997802734,0.029375553131103516,0.28,0.28,0.5768875533090926,50
9,0.32831287384033203,0.029078006744384766,0.31333333333333335,0.31333333333333335,0.5629059095780665,50
0,0.3280301094055176,0.0287017822265625,0.26,0.26,0.5439005393804376,100
1,0.33225035667419434,0.03068995475769043,0.3,0.3,0.5727090326832035,100
2,0.3273048400878906,0.028922319412231445,0.31333333333333335,0.31333333333333335,0.5812778180216602,100
3,0.3226349353790283,0.028232574462890625,0.32,0.32,0.5417370653576389,100
4,0.32165050506591797,0.02816486358642578,0.3333333333333333,0.3333333333333333,0.5797290046653677,100
5,0.3260774612426758,0.028571367263793945,0.32,0.32,0.5508906656900218,100
6,0.32717466354370117,0.028940439224243164,0.29333333333333333,0.29333333333333333,0.5454421864029185,100
7,0.3240232467651367,0.02633523941040039,0.3333333333333333,0.3333333333333333,0.5651642321366062,100
8,0.32051587104797363,0.029034852981567383,0.29333333333333333,0.29333333333333333,0.5466350858982064,100
9,0.3283238410949707,0.029521942138671875,0.3466666666666667,0.3466666666666667,0.5751811227638509,100
0,0.33030176162719727,0.029854774475097656,0.3,0.3,0.6064348113180187,150
1,0.3290979862213135,0.029366254806518555,0.29333333333333333,0.29333333333333333,0.5896305173182466,150
2,0.327894926071167,0.028810501098632812,0.38,0.38,0.5987467262500953,150
3,0.3252730369567871,0.02728581428527832,0.29333333333333333,0.29333333333333333,0.5742253867628203,150
4,0.3286728858947754,0.029438018798828125,0.30666666666666664,0.30666666666666664,0.5686128827412423,150
5,0.3289065361022949,0.029303550720214844,0.32666666666666666,0.32666666666666666,0.571847007035485,150
6,0.33217740058898926,0.03011488914489746,0.30666666666666664,0.30666666666666664,0.5706188660398063,150
7,0.33126068115234375,0.029522180557250977,0.34,0.34,0.5634729352021783,150
8,0.32303786277770996,0.027144193649291992,0.25333333333333335,0.25333333333333335,0.5318217258959941,150
9,0.32706379890441895,0.029665231704711914,0.32,0.32,0.587331726051124,150
